# ChronoModel 2.0.18
# ChronoModel Project
# Date Format : BC/AD
iter,IUP Begin,IUP End,XXII
11063,-41904.7812038085,-41904.7812038085,-41904.7812038085
11064,-41971.5624714088,-41971.5624714088,-41971.5624714088
11065,-42053.862587657,-42053.862587657,-42053.862587657
11066,-43483.8606720672,-43483.8606720672,-43483.8606720672
11067,-42195.1437803283,-42195.1437803283,-42195.1437803283
11068,-41809.2850562416,-41809.2850562416,-41809.2850562416
11069,-41909.8187278285,-41909.8187278285,-41909.8187278285
11070,-41750.9135885761,-41750.9135885761,-41750.9135885761
11071,-42776.850565502,-42776.850565502,-42776.850565502
11072,-42909.7749567496,-42909.7749567496,-42909.7749567496
11073,-42291.8662514382,-42291.8662514382,-42291.8662514382
11074,-41301.4166731599,-41301.4166731599,-41301.4166731599
11075,-41962.1155191371,-41962.1155191371,-41962.1155191371
11076,-42252.5597120515,-42252.5597120515,-42252.5597120515
11077,-41887.8275456136,-41887.8275456136,-41887.8275456136
11078,-43310.6047975618,-43310.6047975618,-43310.6047975618
11079,-41801.2221643768,-41801.2221643768,-41801.2221643768
11080,-42416.3115581964,-42416.3115581964,-42416.3115581964
11081,-42785.2945760656,-42785.2945760656,-42785.2945760656
11082,-41837.6930178118,-41837.6930178118,-41837.6930178118
11083,-41627.903348228,-41627.903348228,-41627.903348228
11084,-41417.8494213769,-41417.8494213769,-41417.8494213769
11085,-41831.218809218,-41831.218809218,-41831.218809218
11086,-41979.765943547,-41979.765943547,-41979.765943547
11087,-41336.8649462732,-41336.8649462732,-41336.8649462732
11088,-41737.8355635144,-41737.8355635144,-41737.8355635144
11089,-41568.9530569793,-41568.9530569793,-41568.9530569793
11090,-41971.1024892849,-41971.1024892849,-41971.1024892849
11091,-42810.450101466,-42810.450101466,-42810.450101466
11092,-41760.50506575,-41760.50506575,-41760.50506575
11093,-41556.7135841063,-41556.7135841063,-41556.7135841063
11094,-42883.8304697097,-42883.8304697097,-42883.8304697097
11095,-41960.9553026764,-41960.9553026764,-41960.9553026764
11096,-42143.5464750665,-42143.5464750665,-42143.5464750665
11097,-41769.1515159481,-41769.1515159481,-41769.1515159481
11098,-41223.9972093224,-41223.9972093224,-41223.9972093224
11099,-42310.1619147365,-42310.1619147365,-42310.1619147365
11100,-41772.6379742486,-41772.6379742486,-41772.6379742486
11101,-42229.1714051742,-42229.1714051742,-42229.1714051742
11102,-42427.7359495938,-42427.7359495938,-42427.7359495938
11103,-42185.6040587831,-42185.6040587831,-42185.6040587831
11104,-41990.3760428626,-41990.3760428626,-41990.3760428626
11105,-41904.8424165016,-41904.8424165016,-41904.8424165016
11106,-42329.3748395545,-42329.3748395545,-42329.3748395545
11107,-41651.4089399985,-41651.4089399985,-41651.4089399985
11108,-41855.4892121046,-41855.4892121046,-41855.4892121046
11109,-41679.1157608676,-41679.1157608676,-41679.1157608676
11110,-41763.9004997591,-41763.9004997591,-41763.9004997591
