# ChronoModel 2.0.18
# ChronoModel Project
# Date Format : BC/AD
iter,EPI Begin,EPI End,V
11039,-27724.4760076387,-27724.4760076387,-27724.4760076387
11040,-28249.8391541955,-28249.8391541955,-28249.8391541955
11041,-28194.6419699052,-28194.6419699052,-28194.6419699052
11042,-28427.1915848769,-28427.1915848769,-28427.1915848769
11043,-28086.1287729638,-28086.1287729638,-28086.1287729638
11044,-27869.1750830902,-27869.1750830902,-27869.1750830902
11045,-26530.8681541358,-26530.8681541358,-26530.8681541358
11046,-28502.1723229257,-28502.1723229257,-28502.1723229257
11047,-29774.4943660006,-29774.4943660006,-29774.4943660006
11048,-28699.2213338567,-28699.2213338567,-28699.2213338567
11049,-28417.9855932551,-28417.9855932551,-28417.9855932551
11050,-27628.8212452806,-27628.8212452806,-27628.8212452806
11051,-27870.7958566429,-27870.7958566429,-27870.7958566429
11052,-27919.6729075555,-27919.6729075555,-27919.6729075555
11053,-26987.4005413806,-26987.4005413806,-26987.4005413806
11054,-27786.8729031521,-27786.8729031521,-27786.8729031521
11055,-28552.0445208477,-28552.0445208477,-28552.0445208477
11056,-27419.5613547361,-27419.5613547361,-27419.5613547361
11057,-28283.613881688,-28283.613881688,-28283.613881688
11058,-28077.6654769799,-28077.6654769799,-28077.6654769799
11059,-28195.0474113508,-28195.0474113508,-28195.0474113508
11060,-27637.932670649,-27637.932670649,-27637.932670649
11061,-27078.9353611952,-27078.9353611952,-27078.9353611952
11062,-28111.6812956805,-28111.6812956805,-28111.6812956805
11063,-27997.8977220401,-27997.8977220401,-27997.8977220401
11064,-27964.4739178053,-27964.4739178053,-27964.4739178053
11065,-27688.6360126554,-27688.6360126554,-27688.6360126554
11066,-28607.115805424,-28607.115805424,-28607.115805424
11067,-28220.9590743164,-28220.9590743164,-28220.9590743164
11068,-28660.1111634858,-28660.1111634858,-28660.1111634858
11069,-26708.7351205252,-26708.7351205252,-26708.7351205252
11070,-28023.3874981343,-28023.3874981343,-28023.3874981343
11071,-27495.9752718052,-27495.9752718052,-27495.9752718052
11072,-26789.2186773089,-26789.2186773089,-26789.2186773089
11073,-28117.2000694164,-28117.2000694164,-28117.2000694164
11074,-27983.9801007143,-27983.9801007143,-27983.9801007143
11075,-27574.1159596583,-27574.1159596583,-27574.1159596583
11076,-28131.5964324162,-28131.5964324162,-28131.5964324162
11077,-28230.547406327,-28230.547406327,-28230.547406327
11078,-28234.5730154068,-28234.5730154068,-28234.5730154068
11079,-27896.5159132306,-27896.5159132306,-27896.5159132306
11080,-28736.7866192048,-28736.7866192048,-28736.7866192048
11081,-27975.158216354,-27975.158216354,-27975.158216354
11082,-27784.7174676078,-27784.7174676078,-27784.7174676078
11083,-27434.5566986828,-27434.5566986828,-27434.5566986828
11084,-28474.9280189306,-28474.9280189306,-28474.9280189306
11085,-27847.2406648502,-27847.2406648502,-27847.2406648502
11086,-26163.9618308722,-26163.9618308722,-26163.9618308722
11087,-28405.472247093,-28405.472247093,-28405.472247093
11088,-28212.2048410904,-28212.2048410904,-28212.2048410904
11089,-27869.0383655148,-27869.0383655148,-27869.0383655148
11090,-27914.6189834321,-27914.6189834321,-27914.6189834321
11091,-27822.4149599758,-27822.4149599758,-27822.4149599758
11092,-26846.8004140448,-26846.8004140448,-26846.8004140448
11093,-27700.7478572913,-27700.7478572913,-27700.7478572913
11094,-28242.2765998598,-28242.2765998598,-28242.2765998598
11095,-28575.2045795467,-28575.2045795467,-28575.2045795467
11096,-28465.9619000411,-28465.9619000411,-28465.9619000411
11097,-27836.0736424291,-27836.0736424291,-27836.0736424291
11098,-29218.8553378714,-29218.8553378714,-29218.8553378714
11099,-27594.2041513785,-27594.2041513785,-27594.2041513785
11100,-28404.9151376915,-28404.9151376915,-28404.9151376915
11101,-28882.7734007239,-28882.7734007239,-28882.7734007239
11102,-27376.4056181879,-27376.4056181879,-27376.4056181879
11103,-27914.9745124899,-27914.9745124899,-27914.9745124899
11104,-28395.4504776396,-28395.4504776396,-28395.4504776396
11105,-28077.5498150372,-28077.5498150372,-28077.5498150372
11106,-27939.7928135397,-27939.7928135397,-27939.7928135397
11107,-28154.2484705488,-28154.2484705488,-28154.2484705488
11108,-28369.6501103246,-28369.6501103246,-28369.6501103246
11109,-28801.8876832054,-28801.8876832054,-28801.8876832054
